coder,response_uuid,participant__hashed_id,child_hashed_id,child__age_rounded,child__gender,videoShown,audioPlayed,frame_duration_stimuli,frame_duration_respond,frame_duration_transcribe,event0_timestamp,parent_transcription,response_video_file,session_order,trial_type,trial_num,testtrial_type,stimulus_set,stimulus_subject,stimulus_verb,stimulus_object,stimulus_distractor,stimulus_targetutterance,stimulus_condition,informative_entities,uninformative_entities,response_exact_utterance,response_attempted_target,response_included_subject,response_included_verb,response_included_object,response_included_distractor,response_included_informative,response_included_uninformative,include_trial,exclusion_reason,notes_trial
sienna/lia,33037474-6026-4413-818a-6a8b53897cd6,3cMR2R,S35WD7,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,bunny,,Order_2,train_1,1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,"YES; YES [mom says ""that's a bunny can you say bunny?""] BUNNY BUNNY; YA",y,y,NA,NA,NA,y,n,y,,
sienna/lia,33037474-6026-4413-818a-6a8b53897cd6,3cMR2R,S35WD7,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,that car car car car,,Order_2,train_2,2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,"YA YA [mom says, ""do you know what that is?""] [sibling says, ""a car""] [mom says, ""do you know what that is?""] YA CAR CAR CAR; [mom say's ""yup that's a car, can you say car?""] CAR CAR",y,y,NA,NA,NA,y,n,y,,
sienna/lia,33037474-6026-4413-818a-6a8b53897cd6,3cMR2R,S35WD7,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,[PARENT DID NOT RESPOND],,Order_2,test_trial,3,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES,BEAR ROOM,"unintelligible; [points at screen] BIRD [mom says, ""the bear?""] unintelligible; [child leans into screen] unintelligible; BIRD",n,n,n,n,n,n,n,y,,
sienna/lia,33037474-6026-4413-818a-6a8b53897cd6,3cMR2R,S35WD7,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,,Happened? Bird bird bird,,Order_2,test_trial,4,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,APPLE EAT,DOG BANANA,OPENED; [child leans into screen] unintelligible BIRD BIRD BIRD BIRD BIRD BIRD BIRD; HE HE BIRD THERE; unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,33037474-6026-4413-818a-6a8b53897cd6,3cMR2R,S35WD7,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,,Happened?,,Order_2,test_trial,5,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,NO; unintelligible; [child leans into screen and touches camera] unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,33037474-6026-4413-818a-6a8b53897cd6,3cMR2R,S35WD7,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,Open it ball ball,,Order_2,test_trial,6,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,"NO; OPENED; BALL BALL BALL [mom says, ""the ball?] BALL; unintelligible",y,n,n,y,n,y,n,y,,
sienna/lia,33037474-6026-4413-818a-6a8b53897cd6,3cMR2R,S35WD7,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,,Happened. All gone. stop. all gone,,Order_2,test_trial,7,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,OPENED; YA; unintelligible ALL GONE ALL GONE unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,33037474-6026-4413-818a-6a8b53897cd6,3cMR2R,S35WD7,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,,happened?,,Order_2,test_trial,8,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,MILK DRINK,BABY JUICE,unintelligible [child tries to get out of chair],n,n,n,n,n,n,n,y,,
sienna/lia,ee5f40f8-dc84-4a9a-9176-275d5ba05de3,GN7ZFW,TXBZXQ,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,"Bunny, cute bunny",,Order_2,train_1,1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,unintelligible; BUNNY,y,y,NA,NA,NA,y,n,y,,
sienna/lia,ee5f40f8-dc84-4a9a-9176-275d5ba05de3,GN7ZFW,TXBZXQ,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,"Car.  Car red.  Wheels, round round.  Beep beep.",,Order_2,train_2,2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,"A CAR; CAR, CAR; CAR RED; WHEELS AROUND AROUND CAR BEEP BEEP BEEP",y,y,NA,NA,NA,y,n,y,,
sienna/lia,ee5f40f8-dc84-4a9a-9176-275d5ba05de3,GN7ZFW,TXBZXQ,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,Bear.  Big.  Shoes.  Num num shoes.,,Order_2,test_trial,3,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES,BEAR ROOM,"WHAT HAPPENED, BEAR, WHAT HAPPENED BEAR; BEAR BOY; PLAY; BEAR BOY; BEAR BIG; NICE SHOES; BEAR AND THE SHOES; A BEAR A BIG SHOES",y,y,n,y,n,y,y,y,,
sienna/lia,ee5f40f8-dc84-4a9a-9176-275d5ba05de3,GN7ZFW,TXBZXQ,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,,Nothing,,Order_2,test_trial,4,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,APPLE EAT,DOG BANANA,"NO; YUMMY; VIDEO, NO; A TV, NO",n,n,n,n,n,n,n,y,,
sienna/lia,ee5f40f8-dc84-4a9a-9176-275d5ba05de3,GN7ZFW,TXBZXQ,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,,"Bird, baby, juice.",,Order_2,test_trial,5,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,"BABY, JUICE; VIDEO, LET SEE HERE, A PUPPY; BABY, BIRD NO; WHAT HAPPENED, REMEMBER I SEE; A BEAR; PAPA IT TICKLES; WHAT HAPPENED; MORE VIDEO YA",y,y,n,y,y,y,y,y,,
sienna/lia,ee5f40f8-dc84-4a9a-9176-275d5ba05de3,GN7ZFW,TXBZXQ,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,Duck!  Ball!  More video!  ,,Order_2,test_trial,6,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,"A BEAR, REMEBER THE TV, BEAR; DUCK, BALL; BAT AND BALL; DUCK, DUCKY; IT GO DUCKY BALL GO; DUCK BALL; REMEMBER DUCK, BALL; MORE TV MORE VIDEO",y,y,n,y,n,y,y,y,,
sienna/lia,ee5f40f8-dc84-4a9a-9176-275d5ba05de3,GN7ZFW,TXBZXQ,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,,More video!  TV!  Elmo and Cookie!  Remember.,,Order_2,test_trial,7,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,"MORE VIDEO YA OK OK, MORE VIDEO OK, A RAINBOW, A BEAR; MORE VIDEO OK; A unintelligible NO, A COOKIE NO, A TV NO, A TRUCK CAR PEAR BABY, NO [child is looking offscreen as she names these]; MORE VIDEO YA OK",n,n,n,n,n,n,n,y,,
sienna/lia,ee5f40f8-dc84-4a9a-9176-275d5ba05de3,GN7ZFW,TXBZXQ,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,,"More video!  Remember... baby, milk, juice!  More video",,Order_2,test_trial,8,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,MILK DRINK,BABY JUICE,"MORE VIDEO YA OK, MORE VIDEO; MORE VIDEO YA OK, I REMEMBER; A BEAR, NO; TOYS NO, MORE VIDEO YA OK; BACK, MORE VIDEO YA OK; I REMEMBER BABY MILK JUICE, WHAT HAPPENED; YES I REMEMBER A TV, TWO, ONE TWO, ONE ONE, ONE ONE ONE [she is counting the ""TV""s that she sees]",y,y,n,y,y,y,y,y,,
sienna/lia,e8a0f34a-ab19-4b2c-a58e-914cceb4312d,PDDEZ3,NJKFJ6,690,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,A da?! a ha?! hmmmm A da?!,,Order_2,train_1,1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,unintelligible [child points at screen] THAT WHAT'S THAT HMM [child makes thinking face/gesture] unintelligible,n,n,NA,NA,NA,n,n,y,,
sienna/lia,e8a0f34a-ab19-4b2c-a58e-914cceb4312d,PDDEZ3,NJKFJ6,690,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,A car,,Order_2,train_2,2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,A CAR,y,y,NA,NA,NA,y,n,y,,
sienna/lia,e8a0f34a-ab19-4b2c-a58e-914cceb4312d,PDDEZ3,NJKFJ6,690,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,See? a pooh? hmmm,,Order_2,test_trial,3,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES,BEAR ROOM,WHAT HAPPENED; SEE; POO POO; SEE; unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,e8a0f34a-ab19-4b2c-a58e-914cceb4312d,PDDEZ3,NJKFJ6,690,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,,What happen？ A dog hmmmm,,Order_2,test_trial,4,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,APPLE EAT,DOG BANANA,"WHAT HAPPENED; WHAT HAPPENED; A DOG [child points at screen] [mom says, ""A dog?""] A DOG A DOG A DOG; A DOG",y,y,n,n,n,n,y,y,,
sienna/lia,e8a0f34a-ab19-4b2c-a58e-914cceb4312d,PDDEZ3,NJKFJ6,690,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,,see？ hmmm  a  baby hmmmm,,Order_2,test_trial,5,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,SEE; [child points at screen] HAPPEN; I SEE HMM [child points at screen] A DOG; unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,e8a0f34a-ab19-4b2c-a58e-914cceb4312d,PDDEZ3,NJKFJ6,690,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,what happen? hmmm see? hmmmmm a bee a car a CAR ,,Order_2,test_trial,6,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,WHAT HAPPEN MM; I SEE; WHAT HAPPEN HMM; [child points at screen] unintelligible MM A CAR; [child points at screen] A CAR A CAR,n,n,n,n,n,n,n,y,,
sienna/lia,e8a0f34a-ab19-4b2c-a58e-914cceb4312d,PDDEZ3,NJKFJ6,690,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,,see? hmm a dog! a d-d-dog,,Order_2,test_trial,7,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,SEE HMM; A DOG [child points at screen]; A DOG A DOG A DOG BLUE A DOG A DOG A DOG unintelligible A DOG,n,n,n,n,y,n,y,y,,
