coder,response_uuid,child_hashed_id,frame_id,videoShown,audioPlayed,frame_duration_stimuli,frame_duration_respond,frame_duration_transcribe,event0_timestamp,parent_transcription,response_video_file,session_order,trial_num,trial_type,testtrial_type,stimulus_set,stimulus_subject,stimulus_verb,stimulus_object,stimulus_distractor,stimulus_targetutterance,stimulus_condition,informative_entities,uninformative_entities,response_exact_utterance,response_attempted_target,response_included_subject,response_included_verb,response_included_object,response_included_distractor,response_included_informative,response_included_uninformative,include_trial,exclusion_reason,notes_trial
sienna/lia,ed7e915d-4e82-49a2-a796-dd338ba10c1b,5E6MP4,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,,duck happened,,Order_1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,DUCK HAPPENED; DUCK HAPPENED,n,n,n,n,n,n,n,y,,
sienna/lia,ed7e915d-4e82-49a2-a796-dd338ba10c1b,5E6MP4,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,,duck happened cat happened,,Order_1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,DUCK HAPPENED; DUCK HAPPENED; [sibling said something about an apple]; THE CAT HAPPENED,n,n,n,n,n,n,n,y,,
sienna/lia,ed7e915d-4e82-49a2-a796-dd338ba10c1b,5E6MP4,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,duck happened,,Order_1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,"DUCK HAPPENED; [sibling says, ""I think the bear did.""]",n,n,n,n,n,n,n,y,,
sienna/lia,ed7e915d-4e82-49a2-a796-dd338ba10c1b,5E6MP4,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,,choose,,Order_1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,[sibling crying in background] PIPER CRY; [child points at screen] I CLICK TOO I CLICK TOO; [points to the side] TREES;,n,n,n,n,n,n,n,y,,
sienna/lia,ed7e915d-4e82-49a2-a796-dd338ba10c1b,5E6MP4,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,,cat happened Sonoma (name of our dog) happened,,Order_1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,"DUCK HAPPENED [mom says, ""The cat?""] YA [mom says, ""What did the cat do?""] I DON'T KNOW; HAPPENED",n,n,n,n,n,n,n,y,,
sienna/lia,919a8936-fe24-4344-86ac-cbcd8056c817,XYHR5A,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,meow meow meow,,Order_1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,MEOW MEOW,y,y,NA,NA,NA,y,n,y,,
sienna/lia,919a8936-fe24-4344-86ac-cbcd8056c817,XYHR5A,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,car car go car,,Order_1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[glitchy video],n,n,NA,NA,NA,n,n,n,glitchy video,
sienna/lia,919a8936-fe24-4344-86ac-cbcd8056c817,XYHR5A,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,knock knock,,Order_1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,NA NA,n,n,n,n,n,n,n,y,,
sienna/lia,919a8936-fe24-4344-86ac-cbcd8056c817,XYHR5A,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,,meow go go,,Order_1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,BYE; unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,919a8936-fe24-4344-86ac-cbcd8056c817,XYHR5A,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,,apple purple,,Order_1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,[child goes out of frame],n,n,n,n,n,n,n,n,inattentive/fussy,
